loan_id,snapshot_date,balance,arrears,days_past_due,account_status_l2,risk_category,age_band,gender,avg_monthly_income_band,product_name
reczBz8xkJQyCR2Q6,2025-12-30,187939.0,187939.0,543,PAR 30,Critical,26-35,Female,Unknown,Apple-iPhone-13-Pro-Max-256GB
recaMBhgYku6KByZP,2025-12-30,183459.0,17199.0,3,FPD,Medium,36-45,Male,150K+,Apple-iPhone-15-Pro-Max-256GB
rec2p69IR8oBuxTy7,2025-12-30,182439.0,63159.0,63,Return,Returned,Unknown,,Unknown,Samsung-Galaxy-S24-Ultra-512GB
rec9LGtrmZ5wDeXLE,2025-12-30,182439.0,60319.0,62,Return,Returned,Unknown,,Unknown,Samsung-Galaxy-S24-Ultra-512GB
recKNWKM6KfQX9qfQ,2025-12-30,179839.0,83279.0,123,Return,Critical,Unknown,,Unknown,Samsung-Galaxy-S24-Ultra-256GB
recKsT5luTMBXZeNX,2025-12-30,179489.0,14349.0,27,Return,Returned,36-45,Female,20K-30K,Apple-iPhone-15-Pro-Max-256GB
recIOrn7EOECUUH7p,2025-12-30,179289.0,42579.0,20,Return,Returned,Unknown,,Unknown,Apple-iPhone-15-Pro-256GB
recbhIHJSNOLI4s14,2025-12-30,179189.0,42479.0,17,Return,Returned,Unknown,,Unknown,Apple-iPhone-15-Pro-256GB
recjIlGgFRy7mtlNo,2025-12-30,176359.0,176359.0,630,FMD,Critical,Unknown,,Unknown,Apple-iPhone-12-Pro-Max-256GB
recYldYDybGIgtmWi,2025-12-30,172179.0,62299.0,75,Return,Returned,Unknown,,Unknown,Apple-iPhone-14-Pro-Max-512GB
recUBWbbSVWypFKv3,2025-12-30,171409.0,92819.0,154,Return,Critical,Unknown,,Unknown,Samsung-Galaxy-S23-Ultra-256GB
recNmMvLr15Adrlnl,2025-12-30,171409.0,106369.0,195,Return,Critical,Unknown,,Unknown,Samsung-Galaxy-S23-Ultra-256GB
recXAOXrZrZZAHnDb,2025-12-30,171399.0,171399.0,538,FPD,Critical,Unknown,,Unknown,Samsung-Galaxy-S23-Ultra-256GB
rec84l2W5Sdei8FvE,2025-12-30,168710.0,3570.0,0,Active,Low,36-45,,50K-100K,Apple-iPhone-15-Pro-Max-256GB
recsZmwOobEWt9PRL,2025-12-30,168350.0,168350.0,788,PAR 30,Critical,Unknown,,Unknown,Apple-iPhone-12-Pro-Max-128GB
recItD16hutTUG25o,2025-12-30,167090.0,157220.0,333,FPD,Critical,18-25,Male,50K-100K,Samsung-Galaxy-S24-Ultra-256GB
rec5vPagTk8IH2Qo2,2025-12-30,166954.0,166954.0,579,FMD,Critical,Unknown,,Unknown,Apple-iPhone-13-Pro-256GB
recjsqsQaocMH5Zba,2025-12-30,166579.0,166579.0,444,FPD,Critical,Unknown,,Unknown,Samsung-Galaxy-S23-Ultra-256GB
recACWhR5FXLIzeUb,2025-12-30,166389.0,57609.0,63,Return,Returned,Unknown,,Unknown,Apple-iPhone-14-Pro-Max-256GB
recAYgkJQtKZusb26,2025-12-30,163000.0,3260.0,0,Active,Low,36-45,Male,100K-150K,Apple-iPhone-15-Pro-Max-256GB
recysfZ3x70nO4QTw,2025-12-30,163000.0,3260.0,0,Active,Low,36-45,Female,150K+,Apple-iPhone-15-Pro-Max-256GB
recrQbY5NvPAqZmpE,2025-12-30,159749.0,71999.0,85,Return,Returned,26-35,,150K+,Samsung-Galaxy-S24-Ultra-256GB
recjiFodGqffCLSIW,2025-12-30,159749.0,69749.0,83,Return,Returned,26-35,Female,100K-150K,Samsung-Galaxy-S24-Ultra-256GB
recxM0Aah6eAmM6in,2025-12-30,159630.0,97030.0,210,FPD,Critical,26-35,Male,100K-150K,Samsung-Galaxy-S24-Ultra-256GB
recpgz3s2aJf8qjMR,2025-12-30,159630.0,68860.0,151,FPD,Critical,26-35,Male,150K+,Samsung-Galaxy-S24-Ultra-256GB
reck3CiyinGLAYFDX,2025-12-30,159630.0,97030.0,210,FPD,Critical,26-35,Male,150K+,Samsung-Galaxy-S24-Ultra-256GB
recZSx4mJbiA4dxUR,2025-12-30,159630.0,97030.0,215,FPD,Critical,26-35,Male,150K+,Samsung-Galaxy-S24-Ultra-256GB
rechmA2F3iAvJYOOy,2025-12-30,159630.0,43820.0,96,FPD,Critical,18-25,Male,50K-100K,Samsung-Galaxy-S24-Ultra-512GB
recwrpgCmSNF4neZp,2025-12-30,159630.0,75120.0,166,FPD,Critical,18-25,Male,150K+,Samsung-Galaxy-S24-Ultra-256GB
recRGJhMAAQbIPGM4,2025-12-30,157889.0,0.0,0,Active,Low,Unknown,,Unknown,Apple-iPhone-15-Pro-Max-256GB
recZdOf3Nv2s4d1NH,2025-12-30,157519.0,157519.0,496,FPD,Critical,Unknown,,Unknown,Samsung-Galaxy-S23-Ultra-256GB
recTep3oCFgxBmOdE,2025-12-30,157139.0,157139.0,543,Return,Critical,Unknown,,Unknown,Samsung-Galaxy-S22-Ultra-256GB
recis5kj5lcsCZI2F,2025-12-30,156759.0,0.0,0,Active,Low,Unknown,,Unknown,Apple-iPhone-15-Pro-Max-256GB
recLWWetoHVK0G9AD,2025-12-30,156530.0,87670.0,197,FPD,Critical,26-35,Male,150K+,Samsung-Galaxy-S24-Ultra-256GB
recXeL5t59gedlOqp,2025-12-30,156479.0,0.0,0,Active,Low,Unknown,,Unknown,Apple-iPhone-15-Pro-Max-256GB
recLSsXNgnkIMwAaX,2025-12-30,153410.0,153410.0,833,PAR 30,Critical,26-35,Male,Unknown,Apple-iPhone-12-Pro-Max-128GB
recfayRJD9J0j4qDb,2025-12-30,153369.0,65729.0,141,FMD,Critical,Unknown,,Unknown,Samsung-Galaxy-S24-Ultra-256GB
rec8maphGVZWaJ5xf,2025-12-30,153369.0,90769.0,200,FMD,Critical,Unknown,,Unknown,Samsung-Galaxy-S24-Ultra-256GB
recMamTrrNCXK9xyj,2025-12-30,152490.0,152490.0,445,FPD,Critical,Unknown,,Unknown,Samsung-Galaxy-S23-Ultra-256GB
rec0eXvE3PbzEea8R,2025-12-30,151859.0,0.0,0,Active,Low,26-35,Male,30K-50K,Apple-iPhone-15-Pro-Max-256GB
rece2S8UEc4CpT4Bl,2025-12-30,150050.0,150050.0,867,Return,Critical,Unknown,,Unknown,Apple-iPhone-13-Pro-Max-128GB
recezEpnEHhCoBSoq,2025-12-30,149499.0,149499.0,607,Return,Critical,36-45,,150K+,Apple-iPhone-13-Pro-Max-256GB
recNutyZwclEkFDgV,2025-12-30,148920.0,125560.0,297,FPD,Critical,26-35,Male,100K-150K,Samsung-Galaxy-S24-Ultra-256GB
recDmLNlUOYNuS1co,2025-12-30,148195.0,96685.0,222,FMD,Critical,26-35,Male,30K-50K,Samsung-Galaxy-S24-Ultra-256GB
recbYn8hobBH1q4Av,2025-12-30,147759.0,147759.0,507,FPD,Critical,Unknown,,Unknown,Samsung-Galaxy-S22-Ultra-256GB
recIIXnkk9drPVdiV,2025-12-30,147549.0,89729.0,77,Return,Returned,Unknown,,Unknown,Samsung-Galaxy-S24-Ultra-256GB
recvafUXBocRWXluX,2025-12-30,147110.0,93900.0,203,PAR 30,Critical,26-35,Female,150K+,Samsung-Galaxy-S24-Ultra-256GB
