snapshot_date,segment_dim,segment,n_loans,delinquency_rate,par90_rate,write_off_rate
2025-01-01,age_band,18-25,290,0.2206896551724138,0.06551724137931035,0.02413793103448276
2025-01-01,age_band,26-35,537,0.24953445065176907,0.1266294227188082,0.0633147113594041
2025-01-01,age_band,36-45,165,0.21818181818181817,0.09090909090909091,0.030303030303030304
2025-01-01,age_band,46-55,36,0.16666666666666666,0.08333333333333333,0.05555555555555555
2025-01-01,age_band,55+,12,0.08333333333333333,0.0,0.0
2025-01-01,age_band,Unknown,7772,0.4388831703551209,0.30983015954709214,0.15028306742151312
2025-03-30,age_band,18-25,689,0.3570391872278665,0.07692307692307693,0.01741654571843251
2025-03-30,age_band,26-35,1374,0.31004366812227074,0.09243085880640466,0.04002911208151383
2025-03-30,age_band,36-45,444,0.2747747747747748,0.08558558558558559,0.036036036036036036
2025-03-30,age_band,46-55,103,0.22330097087378642,0.038834951456310676,0.02912621359223301
2025-03-30,age_band,55+,29,0.20689655172413793,0.034482758620689655,0.0
2025-03-30,age_band,Unknown,8230,0.4741190765492102,0.39246658566221143,0.2060753341433779
2025-06-30,age_band,18-25,1278,0.3857589984350548,0.162754303599374,0.06259780907668232
2025-06-30,age_band,26-35,2653,0.32868450810403316,0.13418771202412363,0.05955522050508858
2025-06-30,age_band,36-45,831,0.2815884476534296,0.1263537906137184,0.06016847172081829
2025-06-30,age_band,46-55,214,0.24299065420560748,0.07009345794392523,0.056074766355140186
2025-06-30,age_band,55+,48,0.22916666666666666,0.0625,0.041666666666666664
2025-06-30,age_band,Unknown,8675,0.4842651296829971,0.4405763688760807,0.2418443804034582
2025-09-30,age_band,18-25,1824,0.4161184210526316,0.2099780701754386,0.10416666666666667
2025-09-30,age_band,26-35,4027,0.3632977402532903,0.19195430841817732,0.102557735286814
2025-09-30,age_band,36-45,1329,0.32129420617005267,0.15876598946576373,0.08653122648607976
2025-09-30,age_band,46-55,361,0.25761772853185594,0.11911357340720222,0.07202216066481995
2025-09-30,age_band,55+,70,0.32857142857142857,0.11428571428571428,0.1
2025-09-30,age_band,Unknown,9076,0.49548259144997797,0.4643014543851917,0.25771264874394006
2025-12-30,age_band,18-25,2430,0.45925925925925926,0.23909465020576132,0.12633744855967077
2025-12-30,age_band,26-35,5967,0.4107591754650578,0.21434556728674375,0.12116641528406234
2025-12-30,age_band,36-45,1986,0.3580060422960725,0.17774420946626385,0.09818731117824774
2025-12-30,age_band,46-55,556,0.3237410071942446,0.14388489208633093,0.08633093525179857
2025-12-30,age_band,55+,113,0.336283185840708,0.1592920353982301,0.12389380530973451
2025-12-30,age_band,Unknown,9449,0.49560800084665046,0.470420150280453,0.259710022224574
2025-01-01,income_band,100K-150K,81,0.09876543209876543,0.024691358024691357,0.012345679012345678
2025-01-01,income_band,10K-20K,142,0.2112676056338028,0.028169014084507043,0.0
2025-01-01,income_band,150K+,111,0.0990990990990991,0.02702702702702703,0.009009009009009009
2025-01-01,income_band,20K-30K,120,0.14166666666666666,0.008333333333333333,0.008333333333333333
2025-01-01,income_band,30K-50K,128,0.2109375,0.0,0.0
2025-01-01,income_band,50K-100K,188,0.13297872340425532,0.0,0.005319148936170213
2025-01-01,income_band,5K-10K,51,0.2549019607843137,0.0392156862745098,0.0196078431372549
2025-01-01,income_band,Below 5K,31,0.12903225806451613,0.0,0.0
2025-01-01,income_band,Unknown,7957,0.44200075405303507,0.3143144401156215,0.15219303757697625
2025-01-01,income_band,,3,0.0,0.0,0.0
2025-03-30,income_band,100K-150K,227,0.2555066079295154,0.05286343612334802,0.022026431718061675
2025-03-30,income_band,10K-20K,342,0.3538011695906433,0.07602339181286549,0.011695906432748537
2025-03-30,income_band,150K+,409,0.18581907090464547,0.029339853300733496,0.017114914425427872
2025-03-30,income_band,20K-30K,297,0.3367003367003367,0.05387205387205387,0.010101010101010102
2025-03-30,income_band,30K-50K,418,0.3157894736842105,0.0645933014354067,0.01674641148325359
2025-03-30,income_band,50K-100K,532,0.28383458646616544,0.043233082706766915,0.018796992481203006
2025-03-30,income_band,5K-10K,154,0.36363636363636365,0.08441558441558442,0.006493506493506494
2025-03-30,income_band,Below 5K,79,0.4177215189873418,0.08860759493670886,0.012658227848101266
2025-03-30,income_band,Unknown,8408,0.47549952426260705,0.3945052331113226,0.20742150333016174
2025-03-30,income_band,,3,0.0,0.0,0.0
2025-06-30,income_band,100K-150K,464,0.2952586206896552,0.10991379310344827,0.04956896551724138
2025-06-30,income_band,10K-20K,673,0.39078751857355126,0.15601783060921248,0.05794947994056464
2025-06-30,income_band,150K+,765,0.25098039215686274,0.08496732026143791,0.054901960784313725
2025-06-30,income_band,20K-30K,598,0.3528428093645485,0.14214046822742474,0.061872909698996656
2025-06-30,income_band,30K-50K,793,0.3530895334174023,0.13745271122320302,0.05926860025220681
2025-06-30,income_band,50K-100K,1066,0.29924953095684803,0.1125703564727955,0.04878048780487805
2025-06-30,income_band,5K-10K,280,0.43214285714285716,0.14285714285714285,0.03571428571428571
2025-06-30,income_band,Below 5K,126,0.42063492063492064,0.2222222222222222,0.03968253968253968
2025-06-30,income_band,Unknown,8931,0.48001343634531407,0.4373530399731273,0.24017467248908297
2025-06-30,income_band,,3,0.0,0.0,0.0
2025-09-30,income_band,100K-150K,711,0.3291139240506329,0.170182841068917,0.0759493670886076
2025-09-30,income_band,10K-20K,1016,0.42618110236220474,0.2204724409448819,0.11023622047244094
2025-09-30,income_band,150K+,1113,0.30098831985624436,0.1509433962264151,0.10422282120395328
2025-09-30,income_band,20K-30K,898,0.3975501113585746,0.19933184855233854,0.10356347438752785
2025-09-30,income_band,30K-50K,1193,0.3922883487007544,0.1944677284157586,0.09639564124056998
2025-09-30,income_band,50K-100K,1621,0.3553362122146823,0.17088217149907464,0.08451573103022826
2025-09-30,income_band,5K-10K,448,0.43973214285714285,0.22098214285714285,0.11830357142857142
2025-09-30,income_band,Below 5K,201,0.46766169154228854,0.21890547263681592,0.07960199004975124
