source,column,dtype,rows,n_null,pct_null,n_unique,sample
credit::01-01-2025,LOAN_ID,str,8935,0,0.0,8935,recnBZuKLsWCIm3cW
credit::01-01-2025,DATE,str,8935,0,0.0,1,1/1/2025
credit::01-01-2025,CUSTOMER_AGE,int64,8935,0,0.0,581,102
credit::01-01-2025,TOTAL_PAID,int64,8935,0,0.0,4193,20639
credit::01-01-2025,TOTAL_DUE_TODAY,float64,8935,5,0.06,1515,21649.0
credit::01-01-2025,BALANCE,float64,8935,1,0.01,4026,38380.0
credit::01-01-2025,DAYS_PAST_DUE,int64,8935,0,0.0,516,4
credit::01-01-2025,CLOSING_BALANCE,float64,8935,1,0.01,2831,38380.0
credit::01-01-2025,ADVANCE,int64,8935,0,0.0,678,0
credit::01-01-2025,BALANCE_DUE_TO_DATE,float64,8935,5,0.06,3379,-1010.0
credit::01-01-2025,ARREARS,int64,8935,0,0.0,2702,1010
credit::01-01-2025,BALANCE_DUE_STATUS,str,8935,0,0.0,3,Arrears
credit::01-01-2025,PAYMENT,int64,8935,0,0.0,194,0
credit::01-01-2025,EXPECTED_PAYMENT,float64,8935,1,0.01,146,0.0
credit::01-01-2025,FIRST_PAYMENT,int64,8935,0,0.0,1,0
credit::01-01-2025,FIRST_EXPECTED_PAYMENT,int64,8935,0,0.0,1,0
credit::01-01-2025,ACCOUNT_STATUS_L1,str,8935,0,0.0,20,Inactive 01-07
credit::01-01-2025,ACCOUNT_STATUS_L2,str,8935,0,0.0,9,Inactive
credit::01-01-2025,RETURN_DATE,str,8935,7949,88.96,380,1/22/2025
credit::01-01-2025,SALE_DATE,str,8935,0,0.0,581,9/21/2024
credit::01-01-2025,CREDIT_CHECK_DONE,str,8935,0,0.0,4,Y LOAN
credit::01-01-2025,PAYMENT_AMOUNT,float64,8935,8365,93.62,193,70.0
credit::01-01-2025,ADJUSTMENT_AMOUNT,float64,8935,8365,93.62,2,0.0
credit::01-01-2025,PREPAYMENT_AMOUNT,int64,8935,0,0.0,14,0
